시설명,주소,전화번호,정원,데이터기준일자
안민지역아동센터,경기도 안양시 만안구 양화로105번길 33(박달동),031-448-0185,44,2023-12-11
꿈터지역아동센터,경기도 안양시 만안구 예술공원로 76(안양동),031-471-1614,49,2023-12-11
참사랑지역아동센터,경기도 안양시 만안구 삼덕로 93(안양동),031-464-0918,29,2023-12-11
달팽이지역아동센터,경기도 안양시 만안구 수리산로 45(안양동),031-442-5241,49,2023-12-11
우리지역아동센터,경기도 안양시 만안구 덕천로 126(안양동),031-441-6734,19,2023-12-11
영림지역아동센터,경기도 안양시 만안구 문예로 16-1(안양동),031-449-2873,35,2023-12-11
한숲지역아동센터,경기도 안양시 만안구 양화로25번길 58(안양동),031-466-2776,49,2023-12-11
해오름지역아동센터,경기도 안양시 만안구 안양로468번길 25-6(석수동),031-473-0992,49,2023-12-11
충훈부지역아동센터,경기도 안양시 만안구 와룡로3번길 55(석수동),031-474-1004,29,2023-12-11
1318해피존해밀지역아동센터,경기도 안양시 동안구 관평로319번길 42(관양동),031-386-1590,46,2023-12-11
이루리지역아동센터,경기도 안양시 동안구 매곡로 38-6(비산동),031-381-4037,29,2023-12-11
순종지역아동센터,경기도 안양시 동안구 관평로305번길 65(관양동),031-386-3348,45,2023-12-11
관양흰돌지역아동센터,경기도 안양시 동안구 관악대로434번길 9-5(관양동),031-423-0019,29,2023-12-11
꿈세지역아동센터,경기도 안양시 동안구 경수대로556번길 25(호계동),031-453-0090,35,2023-12-11
안양행복지역아동센터,경기도 안양시 동안구 귀인로 94(호계동),031-349-8668,36,2023-12-11
한무리지역아동센터,경기도 안양시 동안구 경수대로 523(호계동),031-451-0906,49,2023-12-11
희망나무지역아동센터,경기도 안양시 동안구 경수대로 472(호계동),031-427-7173,29,2023-12-11
희망세움지역아동센터,경기도 안양시 동안구 엘에스로 45(호계동),031-427-7525,49,2023-12-11
사랑지역아동센터,경기도 안양시 동안구 갈산로570번길 67(호계동),031-456-6694,49,2023-12-11
LH동편행복한홈스쿨,경기도 안양시 동안구 동편로 120(관양동),031-422-7447,37,2023-12-11
와청소년,경기도 안양시 만안구 석수로178번길 31,031-471-9511,29,2023-12-11
