지역,법인명,시설명,대표자,시설장,전화번호,도로명주소,위도,경도,현원,종사자,신고일,기준일
진영읍,법인,사단법인함께꿈을그리다 진영지역아동센터,김태현,김지연,055-342-1358,"경상남도 김해시 진영읍 진영로 148-1, 2층 (대보슈퍼)",35.30323482,128.7292169,29,2,2005-07-21,2023-09-25
진영읍,법인,사단법인함께꿈을그리다 목양비전지역아동센터,김태현,김태현,055-343-0391,"경상남도 김해시 진영읍 진영산복로 201, 2층",35.30088062,128.7398393,45,3,2016-11-11,2023-09-25
장유1동,개인,사랑샘지역아동센터,이종규,권미숙,055-313-1545,"경상남도 김해시 장유로 180, 505호 (부곡동, 투투스빌딩)",35.20708404,128.8055305,29,2,2007-10-01,2023-09-25
장유2동,장유대성복지재단,꿈샘지역아동센터,한재엽,임미숙,055-723-2022,"경상남도 김해시 능동로7번길 8-8, 2층 (삼문동, 장유2동)",35.18771177,128.8056793,45,3,2013-08-29,2023-09-25
장유2동,개인,플러스하트리더스쿨,차은주,차은주,055-311-4209,"경상남도 김해시 계동로147번길 6-12, 2층 (대청동, 장유2동)",35.18771177,128.8056793,25,2,2009-09-15,2023-09-25
장유2동,개인,세바키지역아동센터,강혜란,김상두,055-311-5004,"경상남도 김해시 계동로147번길 6-18 (대청동, 장유2동)",35.18771177,128.8056793,19,2,2015-04-10,2023-09-25
장유3동,개인,가야지역아동센터,이상옥,이상옥,055-326-1238,"경상남도 김해시 관동로27번길 136 (관동동, 장유3동)",35.17935245,128.8195729,19,2,2016-12-31,2023-09-25
장유3동,법인,함께하는사회적협동조합 장유지역아동센터,최창훈,김경희,055-312-0609,"경상남도 김해시 관동로27번길138 (관동동, 장유3동)",35.1794145,128.8197272,29,2,2005-04-15,2023-09-25
주촌면,개인,주촌지역아동센터,김숙희,오점임,055-338-6365,"경상남도 김해시 주촌면 서부로1541번길 13, 2층",35.23566506,128.8206453,29,2,2009-03-19,2023-09-25
진례면,개인,진례지역아동센터(진례초),조정화,조용석,055-343-7479,"경상남도 김해시 진례면 송현로 74, 2층",35.24774023,128.7562883,29,2,2009-09-08,2023-09-25
한림면,개인,디딤돌지역아동센터,김미정,김미정,070-4155-1315,경상남도 김해시 한림면 한림로401번길 41,35.32260671,128.8002096,34,3,2010-05-25,2023-09-25
내외동,개인,셀라신나는집 지역아동센터,김선미,김선미,055-334-0125,"경상남도 김해시 금관대로1335번길 6-1, 2층 (내동)",35.243006,128.8640982,49,3,2007-02-09,2023-09-25
내외동,개인,내외지역아동센터,허남원,허남원,055-338-0023,경상남도 김해시 우암로85번길 10-1 (내동),35.23892487,128.8612642,29,2,2016-11-01,2023-09-25
내외동,(재)그리스도교회,김해사랑지역아동센터,백광흠,김지혜,055-324-8172,"경상남도 김해시 평전로120, 2층 (내동)",35.24035857,128.8586644,29,2,2006-07-28,2023-09-25
내외동,법인,너나우리사회적협동조합 GO투게더지역아동센터,정경열,박미화,055-327-2739,경상남도 김해시 분성로172번길 51 (외동),35.22880354,128.8698796,40,3,,2023-09-25
내외동,개인,경운지역아동센터,김영희,김영희,055-329-4429,"경상남도 김해시 평전로52, 2층 (외동)",35.23604047,128.8536309,26,2,2014-12-05,2023-09-25
내외동,법인,너나우리사회적협동조합 하늘지역아동센터,정경열,박숙희,055-322-7955,"경상남도 김해시 우암로32, 301호 (외동, 송재빌딩)",35.23334915,128.8607108,29,2,,2023-09-25
내외동,법인,초록나눔사회적협동조합 초록지역아동센터,김애숙,김현주,055-322-9747,"경상남도 김해시 분성로14, 102동 103호 (외동, 일동한신아파트)",35.23176713,128.8498948,25,2,2019-05-01,2023-09-25
칠산서부,개인,서김해지역아동센터,김영길,서영일,055-336-3927,경상남도 김해시 전하로176번길 81-35 (전하동),35.22450287,128.8737663,29,2,2006-08-09,2023-09-25
동상동,법인,사단법인함께꿈을그리다 동상지역아동센터,김태현,김보영,055-332-9073,경상남도 김해시 분성로365번길 10,35.23487706,128.8862703,29,2,,2023-09-25
북부동,굿네이버스,김해좋은이웃 지역아동센터,이호균,조정은,055-322-4744,경상남도 김해시 가락로129번길 45 (대성동),35.23817264,128.875627,32,3,2008-06-03,2023-09-25
북부동,개인,북부지역아동센터,김미자,채형송,055-324-3554,"경상남도 김해시 가락로 223, 상가3-3 (구산동, 광남백조아파트)",35.24539948,128.8734633,45,3,2009-07-24,2023-09-25
북부동,개인,풀코스모스 지역아동센터,이동석,정영주,055-325-4486,"경상남도 김해시 가야로 201, 2층 (삼계동, 맑은빌딩)",35.25967588,128.8724518,45,3,2010-12-27,2023-09-25
활천동,법인,사단법인함께꿈을그리다 삼정지역아동센터,김태현,우정임,055-312-1123,경상남도 김해시 김해대로2511번길 28 (삼정동),35.23071782,128.9014075,46,3,2006-12-07,2023-09-25
활천동,개인,은평지역아동센터,권진우,오정희,055-326-3927,경상남도 김해시 활천로214번길 92 (삼정동),35.23619043,128.8976228,29,2,2008-03-18,2023-09-25
활천동,개인,어방지역아동센터,전두용,전두용,055-326-3910,"경상남도 김해시 인제로 135, 2층 (어방동)",35.24075,128.9038699,29,2,2010-12-30,2023-09-25
활천동,법인,너나우리사회적협동조합 인제지역아동센터,정경열,고지선,070-7756-3460,"경상남도 김해시 인제로 167, 2동 102호 (어방동, 대우유토피아아파트)",35.24264796,128.9007815,29,2,,2023-09-25
삼안동,기아대책,씨앗행복한홈스쿨 지역아동센터,유원식,이영심,055-322-7618,경상남도 김해시 삼안로137번길 15 (삼방동),35.24008027,128.9138167,45,3,2005-04-21,2023-09-25
삼안동,법인,마음소리사회적협동조합해바라기지역아동센터,이효영,이효영,055-335-7747,경상남도 김해시 삼안로255번길 20-16 (삼방동),35.25107716,128.9078527,25,2,2006-05-10,2023-09-25
삼안동,개인(사회복지단체두리나리),1318해피존김해사과나무지역아동센터,최영호,임지은,055-324-1318,"경상남도 김해시 삼안로195번길 20-11, 2층 (삼방동)",35.24542152,128.9095695,35,3,2007-10-31,2023-09-25
삼안동,법인,사단법인함께꿈을그리다 삼방지역아동센터,김태현,금태정,055-311-0976,"경상남도 김해시 삼안로 244, 11동 305호 (삼방동, 동원타운상가)",35.24962022,128.9121988,42,3,,2023-09-25
삼안동,개인,영운지역아동센터,한혜숙,신승희,055-324-9003,경상남도 김해시 삼안로292번길 5 (삼방동),35.25247269,128.9068683,41,3,2016-01-08,2023-09-25
불암동,법인,사단법인함께꿈을그리다 불암지역아동센터,김태현,이종필,055-326-9009,경상남도 김해시 김해대로 2715번길 59,35.23306903,128.9219117,40,3,,2023-09-25
북부동,개인,이든지역아동센터,최진영,최진영,055-902-7942,"경상남도 김해시 삼계로253, 105동 103호",35.265502,128.866354,25,2,2023-01-12,2023-09-25
내외동,개인,행복한지역아동센터,김명준,한미자,055-904-7779,"경상남도 김해시 분성로 14, 102동 103호",35.2310125,128.8488505,26,2,2023-05-25,2023-09-25
