연번,시군명,시설명,주소,정원,전화번호
1,창원,하나지역아동센터,"의창구 대산면 가술산단로 28, 3동 201호",29,055-298-5279
2,창원,덕산지역아동센터,의창구 동읍 용잠로 40,25,055-291-0691
3,창원,영은지역아동센터,의창구 동읍 자여로115번길 7,25,055-253-3927
4,창원,창원행복한지역아동센터,"의창구 북면 신촌본포로 12, 202호",25,055-298-4649
5,창원,두레지역아동센터,"의창구 사림로45번길 1, 2층 ",35,055-267-9040
6,창원,여수룬지역아동센터,"의창구 서상로 54, 2층 (서상동)",32,055-297-0960
7,창원,해솔지역아동센터,"의창구 소계로 131-7 (소계동, 2층, 지하1층)",36,055-251-3770
8,창원,굳뉴스지역아동센터,"의창구 읍성로 65, 4층 402,403호 (소답동)",29,055-297-7506
9,창원,메아리지역아동센터,"의창구 의안로66번길 39, 202호 (소답동, 형제상가빌라)",29,055-298-4942
10,창원,한울지역아동센터,"의창구 지귀로95번길 9, 302호 (봉곡동)",23,055-282-1066
11,창원,해피타임지역아동센터,의창구 태복산로3번길 5 (도계동),35,055-287-2898
12,창원,팔용지역아동센터,"의창구 팔용로 448, 4층 405호 ",29,055-299-0190
13,창원,에디슨지역아동센터,"의창구 하남천서길15번길 6, 101호 (도계동, 백합빌라)",35,055-276-7833
14,창원,새의창지역아동센터,"의창구 팔용로 442, 301호(팔용동, KB빌딩)",25,055-293-3426
15,창원,은하수지역아동센터,"의창구 소계동 715-4, 201호",25,055-298-8159
16,창원,사랑샘지역아동센터,의창구 북면 천주로 577번길 2-7 3층,29,055-715-6415
17,창원,샛별지역아동센터,성산구 가음로92번길 6 (가음동),29,055-282-9607
18,창원,늘푸른지역아동센터,성산구 창이대로 600번길 2 (신월동),29,055-282-3732
19,창원,민들레지역아동센터,성산구 대암로115번길 6-16 (대방동),35,055-282-2384
20,창원,상남지역아동센터,"성산구 동산로72번길 16, 2층 204호 (상남동, 명성상가)",25,055-605-8881
21,창원,창원좋은이웃지역아동센터(경남중부),"성산구 반송로 53, 1층 (반지동)",35,055-238-1241
22,창원,상남꿈자람지역아동센터,"성산구 신사로 173, 2층 (사파동)",29,055-262-0774
23,창원,성주지역아동센터,"성산구 안민안길 47, 3층 (안민동)",19,055-070-8876
24,창원,사파보듬지역아동센터,성산구 창이대로689번길 19-14 (사파동),19,055-284-4842
25,창원,행복한지역아동센터,"마산합포구 3·15대로 355-1, 3,4층 (부림동)",35,055-241-8005
26,창원,성원지역아동센터,마산합포구 교방남1길 34 (교방동),30,055-221-5447
27,창원,수정지역아동센터,마산합포구 구산면 구산로 508,19,055-221-7030
28,창원,구산지역아동센터,마산합포구 구산면 해양관광로 1451,25,055-222-2085
29,창원,늘푸른지역아동센터,"마산합포구 문화서1길 78, 3층 (대창동)",32,055-222-9848
30,창원,명지지역아동센터,"마산합포구 반월북1길 10, 3층 (중앙동1가)",19,055-245-6888
31,창원,마산상남지역아동센터,"마산합포구 불종거리로 78, 2층 (상남동)",32,055-222-5682
32,창원,가우스산호지역아동센터,"마산합포구 산호서2길 16, 2층 (산호동)",29,055-245-0067
33,창원,완월지역아동센터,"마산합포구 완월남로 10, 3층 ",29,055-246-0763
34,창원,늘해랑지역아동센터,"마산합포구 완월동8길 79, 2층 (완월동)",29,055-246-8250
35,창원,전원해운지역아동센터,"마산합포구 월영동로 19, 201호 (해운동, 두산아파트)",25,055-241-9994
36,창원,글로리아지역아동센터,"마산합포구 자산남7길 16, 2층 (자산동)",19,055-242-0688
37,창원,자산지역아동센터,"마산합포구 자산북3길 18-17 (한백3차아파트 상가201호, 202호)",29,055-223-7959
38,창원,SCL지역아동센터,마산합포구 자산삼거리로 94-13 (자산동),33,055-224-3904
39,창원,경도지역아동센터,마산합포구 자산솔밭로 13 (완월동),19,055-231-5288
40,창원,느티나무지역아동센터,"마산합포구 진동면 삼진의거대로 640, 4층",39,055-271-9033
41,창원,도담울지역아동센터,"마산합포구 진동면 서촌길 17, 2층 202호",35,055-271-8505
42,창원,가온지역아동센터,마산합포구 진동면 서촌바다길 1-26,23,055-271-0832
43,창원,어울림지역아동센터,"마산합포구 진동면 진북산업로 21, 3층",39,055-271-9605
44,창원,새봄지역아동센터,"마산합포구 진동면 진북산업로 27, 2층",29,055-271-9601
45,창원,푸른물결행복한홈스쿨지역아동센터,마산합포구 합포동3길 2 (산호동),36,055-245-4603
46,창원,새샘지역아동센터,"마산합포구 합포로 164, 2층 (산호동)",29,055-245-8783
47,창원,산호지역아동센터,마산합포구 허당로 43-1 (산호동),33,055-224-2102
48,창원,LH행복꿈터 현동지역아동센터,"마산합포구 현동3길 1, 107동 1층 ",29,055-246-0064
49,창원,꽃누리세상지역아동센터,"마산회원구 구암남11길 34, 2층 (구암동)",19,070-8200-2412
50,창원,동마산지역아동센터,"마산회원구 구암남7길 7, 2층 201, 202호 (구암동, 대성프리죤텔)",28,055-295-9340
51,창원,중리지역아동센터,"마산회원구 내서읍 상곡로 22, 504호",19,055-231-8672
52,창원,성동지역아동센터,마산회원구 내서읍 숲속로 52,29,055-232-3108
53,창원,큰샘원 지역아동센터,마산회원구 내서읍 중리상곡로 60-1,29,055-231-0804
54,창원,호계지역아동센터,"마산회원구 내서읍 호계본동로 78, 2층",29,055-0232-4724
55,창원,회원큰별지역아동센터,"마산회원구 무학로 630, 2층 (회원동)",29,055-248-1399
56,창원,석전지역아동센터,"마산회원구 석전동3길 24, 2층 (석전동)",32,055-256-6126
57,창원,소명지역아동센터,"마산회원구 소계천서길 113, 3층 (구암동)",37,055-292-4476
58,창원,꿈쟁이지역아동센터,"마산회원구 양덕동16길 29, 1동 1층 102호 (양덕동, 경남아파트)",29,055-297-8004
59,창원,양덕2동지역아동센터,"마산회원구 양덕동2길 76, 106동 1층 101호 (양덕동, 대림하이빌)",31,055-299-6646
60,창원,꽃때말지역아동센터,마산회원구 합성북2길 45 (합성동),29,055-255-9393
61,창원,합성지역아동센터,"마산회원구 합성서1길 122 (합성동,(1층)",19,055-295-1103
62,창원,안영지역아동센터,마산회원구 회성남18길 28 (회성동),25,055-293-4305
63,창원,비둘기회성지역아동센터,"마산회원구 회성시장2길 38, 3층 (회성동)",19,055-251-7817
64,창원,정지역아동센터,"마산회원구 회성시장2길 84, 2층 (회성동)",29,055-294-3030
65,창원,샘동네지역아동센터,마산회원구 회원북28길 95-1 (회원동),19,055-244-5894
66,창원,회원한솔지역아동센터,"마산회원구 회원천북길 247, 2층 (회원동)",29,055-246-6654
67,창원,경화지역아동센터,진해구 경화시장로 대경빌딩,19,055-544-2789
68,창원,좋은씨앗교실지역아동센터,"진해구 덕산로 8-8, 2층 (덕산동)",29,070-4616-1329
69,창원,샘바위지역아동센터,진해구 동진로 126 (덕산동),24,055-545-0689
70,창원,명동지역아동센터,진해구 명동로85번길 16 (명동),19,055-546-0905
71,창원,동부지역아동센터,진해구 석동로30번길 8 ,25,055-551-2774
72,창원,웅동지역아동센터,"진해구 안골로277번길 17 (안골동, 스타빌)",34,070-4109-3929
73,창원,누리봄 다문화지역아동센터,진해구 여좌남로41번길 28-1,34,070-8814-5323
74,창원,은성지역아동센터,"진해구 웅동로51번길 24-3, 201호 (마천동)",29,055-547-8101
75,창원,웅천지역아동센터,진해구 웅천중로44번길 10 (남문동),29,055-551-7879
76,창원,이동지역아동센터,진해구 이동로13번길 8 ,19,055-547-5783
77,창원,다문화지역아동센터,진해구 중원동로 59-1 (중앙동),19,055-542-5162
78,창원,진해지역아동센터,진해구 중원로 78 (송학동),19,055-544-0368
79,창원,해담지역아동센터,진해구 진해대로 1101 (풍호동),29,055-540-0157
80,창원,자은지역아동센터,"진해구 진해대로913번길 29, 105호 (자은동,안성명작빌라 1층)",29,055-545-3302
81,창원,햇살경화지역아동센터,진해구 충장로285번길 28 ,29,055-547-4524
82,창원,참살이지역아동센터,"진해구 충장로511번길 16, 3층 (풍호동)",19,055-546-1409
83,창원,꿈나무 지역아동센터,진해구 태평로 90 (태평동),19,070-8800-7222
