연번,시군명,대상자별,시설유형,시설명,시설장,운영주체,대표자,소재지,연락처,종사자수,일일평균_이용자 수
1,포항시,아동,지역아동센터,감사해요지역아동센터,조정미,개인,김판극,포항시 남구 송림로79번길 12-3  (송도동)  ,054-242-5593,2,15
2,포항시,아동,지역아동센터,구룡포지역아동센터,이종화,개인,이종화,"포항시 남구 구룡포읍 구룡포길65번길,8-2",054-284-1199,3,33
3,포항시,아동,지역아동센터,그리심지역아동센터,정남순,개인,강춘길,포항시 북구 기계면 성계길96번길 63-33,054-244-0094,2,28
4,포항시,아동,지역아동센터,그린지역아동센터,윤지영,개인,윤지영,"포항시 남구 연일읍 연일로 154, 203동 301호 (삼도한솔타운2차(상가동))",054-283-5700,2,15
5,포항시,아동,지역아동센터,그림속세상지역아동센터,정미향,개인,주해남,포항시 남구 대송면 제내길 4,054-285-2622,3,30
6,포항시,아동,지역아동센터,기쁨의지역아동센터,김경옥,법인,이선종,"포항시 북구 삼흥로 411,B동121(양덕동)",054-231-7720,2,9
7,포항시,아동,지역아동센터,꿈나무지역아동센터,황희순,개인,김만호,포항시 북구 중흥로171번길 12  (죽도동) ,054-275-9088,2,29
8,포항시,아동,지역아동센터,늘푸른마음지역아동센터,김정령,법인,김규목,포항시 북구 삼호로321번길 22-20  (두호동)  ,054-252-6612,2,27
9,포항시,아동,지역아동센터,달전지역아동센터,문영섭,개인,권춘옥,포항시 북구 흥해읍 달전로 199-1,054-262-1042,1,12
10,포항시,아동,지역아동센터,대도 행복한홈스쿨지역아동센터,김현주,법인,서경석,포항시 남구 상공로13번지,054-284-6655,2,25
11,포항시,아동,지역아동센터,대명지역아동센터,하종현,개인,하종현,포항시 북구 삼호로203번길 5-4  (항구동)  ,054-251-5059,2,28
12,포항시,아동,지역아동센터,대해지역아동센터,강승희,개인,김용득,포항시 북구 삼흥로57번길 22-3  (장성동)  ,054-256-1959,2,13
13,포항시,아동,지역아동센터,등대지역아동센터,조정숙,개인,황성주,포항시 북구 기계면 기계로 98번길 3,054-246-0015,2,16
14,포항시,아동,지역아동센터,뜰안지역아동센터,이봉채,개인,이봉채,포항시 북구 흥해읍 중성로32번길 25(2층),054-261-4568,2,18
15,포항시,아동,지역아동센터,무지개지역아동센터,김용남,개인,김용남,포항시 남구 양학천로150번길 65-1,054-282-5416,2,26
16,포항시,아동,지역아동센터,문덕파랑새지역아동센터,최경희,개인,이준호,포항시 남구 오천읍 철강로 722-1(2층),070-8745-3077,2,17
17,포항시,아동,지역아동센터,미래지역아동센터,김윤향,법인,김윤정,포항시 북구 학전로 4  (항구동) ,054-232-7761,2,26
18,포항시,아동,지역아동센터,미르벗지역아동센터,고미라,개인,고미라,포항시 북구 용흥로28번길 8(용흥동),054-242-9147,2,29
19,포항시,아동,지역아동센터,바다솔지역아동센터,김경희,개인,김경희,포항시 남구 송림로 21번길 15-7,054-231-5689,2,16
20,포항시,아동,지역아동센터,사랑의공부방지역아동센터,황춘희,개인,엄성호,포항시 남구 구룡포 구룡포길57번길 11-10,054-276-4693,2,24
21,포항시,아동,지역아동센터,서림지역아동센터,황병란,개인,황병란,포항시 북구 장량주택로18번길 5  (양덕동)  ,054-232-3065,2,26
22,포항시,아동,지역아동센터,선린지역아동센터,최영옥,개인,최영옥,포항시 북구 삼호로 47번길 8(대신동),054-244-9291,2,11
23,포항시,아동,지역아동센터,선린꿈터지역아동센터,남정임,법인,박문하,포항시 북구 삼호로 480-33 (환호동),054-252-4402,2,17
24,포항시,아동,지역아동센터,송라면지역아동센터,오진태,개인,오진태,포항시 북구 송라면 보경로 6,054-243-5711,2,26
25,포항시,아동,지역아동센터,신광 이솔지역아동센터,백기범,개인,백운귀,"포항시 북구 신광면 토성길 41, 2층",054-255-8522,2,23
26,포항시,아동,지역아동센터,양포 행복한지역아동센터,이인순,개인,이인순,포항시 남구 장기면 동해안로3261번길 5-1,054-284-2027,2,25
27,포항시,아동,지역아동센터,양학지역아동센터,정해자,개인,정해자,포항시 북구 양학로 104-3  (학잠동),054-284-6935,2,29
28,포항시,아동,지역아동센터,어울림지역아동센터,박채봉,개인,박채봉,포항시 남구 정몽주로879번길 9  (청림동)  ,070-8722-3043,2,23
29,포항시,아동,지역아동센터,참사랑지역아동센터,박정연,개인,박정연,포항시 남구 연일읍 연일로199번길 28 시원한마음상가3층  ,070-8802-3888,2,28
30,포항시,아동,지역아동센터,열린지역아동센터,양향숙,개인,공숙희,포항시 남구 중흥로114번길 14-1  (상도동)  ,054-277-5666,2,18
31,포항시,아동,지역아동센터,우리지역아동센터,이영지,개인,이영지,포항시 북구 청하면 청하로217번길 18   ,054-232-5419,2,28
32,포항시,아동,지역아동센터,웃음꽃지역아동센터,윤남희,개인,윤남희,"포항시 남구 양학천로88번길 15, 2층(대도동) ",054-274-0982,2,19
33,포항시,아동,지역아동센터,이삭지역아동센터,이춘희,법인,김윤정,포항시 남구 송림로103번길 4  (송도동) ,054-255-0688,2,15
34,포항시,아동,지역아동센터,인애지역아동센터,조민영,개인,조민영,포항시 남구 효자로118번길 25  (효자동)  ,054-278-3816,2,19
35,포항시,아동,지역아동센터,장기 숲지역아동센터,최수자,개인,이가복,포항시 남구 장기면 장기로198번길 21   ,054-276-1562,2,19
36,포항시,아동,지역아동센터,장성지역아동센터,이유경,개인,이유경,포항시 북구 장량로 31  (장성동),054-241-1318,3,32
37,포항시,아동,지역아동센터,제일지역아동센터,심영숙,개인,김소향,포항시 북구 동빈로 77(동빈1가),054-254-9696,2,24
38,포항시,아동,지역아동센터,참다운지역아동센터,윤원주,개인,윤원주,포항시 남구 오천읍 냉천로 340번길 35-1,054-274-2029,2,17
39,포항시,아동,지역아동센터,청림 좋은이웃지역아동센터,장명진,법인,이호균,포항시 남구 동해안로5932번길 17  (청림동) ,054-293-9123,2,24
40,포항시,아동,지역아동센터,포항지역아동센터,장정원,법인,손병렬,포항시 남구 상공로46번길 13  (대도동)  ,054-274-2901,2,19
41,포항시,아동,지역아동센터,포항 다솜지역아동센터,김경숙,개인,김경숙,포항시 남구 오천읍 정몽주로616번길 9-2   ,054-291-3535,2,17
42,포항시,아동,지역아동센터,동해지역아동센터,이미영,개인,이미영,포항시 남구 동해면 일월로 175,070-8834-1400,2,27
43,포항시,아동,지역아동센터,포항빛살지역아동센터,최지혜,개인,최지혜,포항시 남구 축항로 75-1,054-242-3458~9,3,34
44,포항시,아동,지역아동센터,엘림지역아동센터,최수은,개인,최수은,"포항시 남구 오천읍 정몽주로708번길오천제일맨션1차상가,상가3층",054-293-7814,2,15
45,포항시,아동,지역아동센터,포항 오천행복한홈스쿨지역아동센터,주인숙,법인,서경석,"포항시 남구 오천읍 정몽주로585번길 8,오천교회 예닮교육관 2층",054-293-0205,2,24
46,포항시,아동,지역아동센터,포항덕수지역아동센터,이유진,개인,이유진,포항시 북구 흥해읍 도음로855번길 9-14,054-251-4128,2,19
47,포항시,아동,지역아동센터,포항창포지역아동센터,김윤선,법인,이선종,"포항시 북구 새천년대로1075번길 10  (창포동), 창포종합사회복지관 2층",054-246-4410,2,16
48,포항시,아동,지역아동센터,하늘꿈터지역아동센터,김명숙,개인,김명숙,포항시 남구 연일읍 철강로25번길 28-1   ,054-285-0879,2,27
49,포항시,아동,지역아동센터,한마음지역아동센터,정영희,개인,정영희,포항시 북구 창흥로36번길 22  (창포동)  ,054-243-0817,2,22
50,포항시,아동,지역아동센터,한울지역아동센터,이순기,법인,이순기,포항시 남구 동해면 일월로41번길 11 ,054-276-4790,2,27
