연번,시설명,행정동,아동정원,법정종사자,도로명주소,설치일자,신고일자,전화번호,위도,경도,데이터기준일자
1,광산,도산동,29,2,광주광역시 광산구 송도로 143,2005-12-28,2005-12-28,062-942-8209,35.12777889,126.7915112,2024-05-02
2,광산누리,어룡동,19,2,광주광역시 광산구 소촌로46번길 3-2,2019-01-03,2019-01-03,062-945-1105,35.14890174,126.7946767,2024-05-02
3,글로벌,첨단2동,29,2,광주광역시 광산구 첨단내촌로36번길26,2012-07-04,2012-07-04,062-972-0675,35.2099657,126.8386416,2024-05-02
4,꿈나무,우산동,29,2,광주광역시 광산구 우산로47,2010-07-29,2010-07-29,062-941-2524,35.15954215,126.8059767,2024-05-02
5,꿈누리,송정1동,37,3,광주광역시 광산구 송도로320번길 16-15,2011-12-08,2011-12-08,062-946-1030,35.14029858,126.803794,2024-05-02
6,늘기쁜,신창동,19,2,광주광역시 광산구 장신로 265번길 22,2011-12-30,2011-12-30,070-7518-6503,35.19269033,126.8400311,2024-05-02
7,늘사랑,본량동,19,2,광주광역시 광산구 용진로382-7,2009-05-11,2009-05-11,070-7779-6602,35.18017069,126.7292575,2024-05-02
8,늘조은,신흥동,19,2,광주광역시 광산구 사암로24번길 60-10,2011-05-13,2011-05-13,062-943-2232,35.14536797,126.8096413,2024-05-02
9,도토리,어룡동,19,2,광주광역시 광산구 어등대로648번길 146,2011-12-08,2011-12-08,062-943-7179,35.14494029,126.781999,2024-05-02
10,디딤돌,신흥동,36,3,광주광역시 광산구 송도로 348,2007-10-12,2007-10-12,062-941-0888,35.14340171,126.8039123,2024-05-02
11,로뎀,월곡1동,19,2,광주광역시 광산구 월곡산정로96-21,2015-10-15,2015-10-15,062-951-1439,35.16439529,126.8131136,2024-05-02
12,명문,어룡동,19,2,광주광역시 광산구 소촌로86번길 17,2009-02-25,2009-02-25,062-942-9427,35.15239977,126.7945927,2024-05-02
13,모아,월곡2동,19,2,광주광역시 광산구 사암로279번길 16-8,2007-04-09,2007-04-09,062-955-8291,35.17080399,126.8063765,2024-05-02
14,목련,운남동,34,3,광주광역시 광산구 목련로219번길 85,2007-10-02,2019-09-01,062-955-8150,35.17560412,126.8228411,2024-05-02
15,무지개,도산동,19,2,광주광역시 광산구 송도로215-9,2011-04-01,2011-04-01,070-7590-0598,35.13361522,126.7955345,2024-05-02
16,미래,월곡1동,29,2,광주광역시 광산구 월곡산정로85,2006-12-08,2006-12-08,062-951-6788,35.16610858,126.8114824,2024-05-02
