연번,자치구,센터명,소재지도로명주소,센터장,현원,정원,종사자,전화번호,데이터기준일자
1,동구,계림지역아동센터,"광주광역시 중앙로 326, 2층",김두정,25,27,2,062-228-6300,2024-01-15
2,동구,꿈을그리는동명지역아동센터,광주광역시 무등로 460,김헌희,16,19,2,062-233-5104,2024-01-15
3,동구,늘푸른지역아동센터,"광주광역시 밤실로 76-2, 3층",박수진,11,19,2,062-224-6488,2024-01-15
4,동구,드림스쿨지역아동센터,"광주광역시 남문로 620, 2층",이인희,22,23,2,062-224-9191,2024-01-15
5,동구,디딤돌지역아동센터,광주광역시 학소로86번안길 8,박인숙,42,49,3,062-227-9421,2024-01-15
6,동구,미래지역아동센터,광주광역시 필문대로 142-1,서해린,25,25,2,062-527-0101,2024-01-15
7,동구,산수중앙지역아동센터,"광주광역시 밤실로 132, 2층",서윤아,31,31,3,062-251-6437,2024-01-15
8,동구,선지역아동센터,"광주광역시 소태길 22-3, 2층",김현숙,15,19,2,062-233-4476,2024-01-15
9,동구,용산지역아동센터,"광주광역시 화산로 328-6, 호반상가 2층",박선정,31,31,3,062-465-5667,2024-01-15
10,동구,정다운지역아동센터,광주광역시 밤실로90번길 11-7,박경인,23,23,2,062-262-5962,2024-01-15
11,동구,지원지역아동센터,광주광역시 남문로622번길 22-3,신영미,43,45,3,062-464-0631,2024-01-15
12,동구,참사랑지역아동센터,광주광역시 무등로 499-1,범정우,25,25,2,062-267-0280,2024-01-15
13,동구,친한친구지역아동센터,"광주광역시 중앙로 329, 2층",김효숙,14,19,2,062-225-3444,2024-01-15
14,동구,토담지역아동센터,광주광역시 밤실로 11-31,선은희,22,22,2,062-223-3030,2024-01-15
15,동구,파랑새지역아동센터,"광주광역시 학소로 138, 2층",양미순,19,19,2,062-233-3621,2024-01-15
16,동구,파이디온지역아동센터,광주광역시 남문로 590. 2층,박선혜,32,32,3,062-265-5616,2024-01-15
17,동구,학동지역아동센터,"광주광역시 천변우로 603, 2층",김은희,33,40,3,062-225-3535,2024-01-15
18,동구,한마음지역아동센터,광주광역시 필문대로106번길 5,윤명숙,35,35,3,062-522-7544,2024-01-15
19,동구,해맑은지역아동센터,"광주광역시 지호로44-1(2,3층)",박매숙,20,22,2,062-226-6488,2024-01-15
20,동구,행복한지역아동센터,"광주광역시 산수길39번길 20-4, 3층",최현미,19,19,2,062-223-3164,2024-01-15
21,서구,강남지역아동센터,광주광역시 염화로 104번길 6-1(화정동),윤다예,18,19,2,062-375-0707,2024-01-15
22,서구,거성지역아동센터,"광주광역시 월산로 264, 2층(농성동)",김지선,35,35,3,062-364-7988,2024-01-15
23,서구,광천지역아동센터,광주광역시 천변좌하로 472(쌍촌동),윤혜정,33,34,3,062-383-0694,2024-01-15
24,서구,금빛나래지역아동센터,"광주광역시 독립로 185번길7, 2층(양동)",김미숙,30,29,2,062-369-7776,2024-01-15
25,서구,금호지역아동센터,광주광역시 운천로32번길 23(금호동),정은숙,28,29,2,062-381-3018,2024-01-15
26,서구,꿈나래지역아동센터,광주광역시 눌재로 406(세하동),최유정,17,19,2,062-383-7266,2024-01-15
27,서구,꿈나무지역아동센터,광주광역시 상무대로1005번길 18(내방동),문정임,34,34,3,062-383-0580,2024-01-15
28,서구,느티나무지역아동센터,광주광역시 죽봉대로119번길 28-13(광천동),김혜영,25,27,2,062-369-8771,2024-01-15
