시설명,소 재 지,전화번호
삼성지역아동센터,대전광역시 동구 태전로 66(삼성동),042-623-2502
우리지역아동센터,대전광역시 동구 대동로20번길24-10(대동),042-624-7143
새움지역아동센터,대전광역시 동구 동부로73번길 43(용운동),042-284-9995
나눔의지역아동센터,대전광역시 동구 용운로132번길14-7(용운동),042-283-0177
예찬지역아동센터,대전광역시 동구 동서대로1778번길 49(가양2동),042-622-1536
세계중앙지역아동센터,대전광역시 동구 계족로358번길 67(성남동),042-636-0691
꿈동산지역아동센터,대전광역시 동구 신안길 23(신안동),042-672-5585
꿈땅지역아동센터,대전광역시 동구 동서대로 1650(성남동),070-7715-0296
한샘지역아동센터,대전광역시 동구 동대전로 263(가양1동),042-673-0689
다모아지역아동센터,"대전광역시 동구 용운로 135-1, 2층(용운동)",042-284-0084
은혜지역아동센터,"대전광역시 동구 가양남로 1-1 2층,(가양동)",042-633-7790
한빛지역아동센터,"대전광역시 동구 옥천로 180번길15, 리라빌딩 301호(판암1동)",042-282-1318
복동산지역아동센터,"대전광역시 동구 동구청로 35(대성동,은어송2단지 상가)305-307호",042-285-5644
주랑지역아동센터,대전광역시 동구 동대전로 186(자양동),070-4015-0233
대전지역아동센터,대전광역시 동구 소랑길 10(삼성동),042-638-0045
해맑은지역아동센터,대전광역시 동구 계족로 483번길 20-4(용전동),042-624-1242
홍도지역아동센터,"대전광역시 동구 홍도로33번길 55, 3층(홍도동)",042-626-5915
새벽지역아동센터,대전광역시 동구 우암로 145(삼성동),042-632-0406
초롱지역아동센터,대전광역시 동구 태전로 182(삼성동),042-638-7717
초록빛지역아동센터,대전광역시 동구 산내로 1352-16(낭월동),042-286-5242
도담도담지역아동센터,"대전광역시 동구 대전로 542번길 27, 2층(천동, 반석빌딩)",042-282-8899
파랑새지역아동센터,"대전광역시 동구 백룡로48번길79, 2층(대동)",070-4025-8331
파랑새휴먼지역아동센터,대전광역시 동구 한밭대로1237번길 45-14(용전동),042-632-0815
대전동부지역아동센터,"대전광역시 동구 산내로 1295, 2층(낭월동)",042-322-5381
파랑지역아동센터,대전광역시 동구 동대전로 284번길 55(가양2동),042-632-1322
대동지역아동센터,대전광역시 동구 대동초등3길 42(대동) 1층,042-625-5872
1318 Happy Zone 하늘세상지역아동센터,"대전광역시 중구 대둔산로 333, 3층 (사정동, 대흥빌딩)",042-584-1318
가정지역아동센터,"대전광역시 중구 동서대로 1407, 2층(목동)",042-253-2982
꿈꾸는아이들지역아동센터,"대전광역시 중구 대종로 712-1, 2층(중촌동)",042-257-8834
꿈동산지역아동센터,"대전광역시 중구 대종로 560, 3층(선화동)",042-257-0091
꿈비지역아동센터,"대전광역시 중구 계백로1615번길 34, 115동 102호(유천동, 현대아파트)",042-584-3733
남대전지역아동센터,"대전광역시 중구 학고개로34번길 57, 1층(옥계동)",042-284-7179
늘푸른지역아동센터,"대전광역시 중구 대종로199번길 33, 1층(호동)",042-272-3004
대전열린지역아동센터,"대전광역시 중구 대둔산로323번길 35, 2층(사정동)",042-582-9676
