연번,시설명칭,대표자,운영기관,시설 도로명 주소,위도,경도,신고정원,전화번호,데이터기준일
1,한아름공부방,박재연,개인,충청남도 서산시 음암면 도당가금말길 44-6,36.7888902,126.507839,29,041-663-2151,2021-09-29
2,미문공부방,김영호,개인,충청남도 서산시 음암면 상홍2길 98-1,36.7933201,126.5024815,49,041-664-8848,2021-09-29
3,산울공부방,소대영,개인,충청남도 서산시 음암면 부산은골길 37,36.807416,126.4760936,29,041-669-7736,2021-09-29
4,화목한,정미숙,개인,"충청남도 인지면 둔당로 105-9, 202호(청구제네스)",36.756601,126.42155,29,041-669-6208,2021-09-29
5,은포공부방,이욥,개인,충청남도 서산시 고북면 고북1로 302-4,36.6678723,126.5331949,40,041-669-1993,2021-09-29
6,꿈이있는교실,배승년,개인,충청남도 서산시 안견로 355(읍내동),36.7776628,126.4439711,45,041-681-8011,2021-09-29
7,서해아이들,문덕암,개인,충청남도 서산시 학동1길 17(동문동),36.7883249,126.4616849,49,041-668-1005,2021-09-29
8,행복한아이들,홍하영,개인,"충청남도 서산시 고운로 275-6, 402호(동문동)",36.7849089,126.4659695,28,041-667-0191,2021-09-29
9,중앙의샛별들,신명현,개인,충청남도 서산시 한마음8로 41,36.7740012,126.4600416,20,041-663-7964,2021-09-29
10,방과후푸른교실,이희규,개인,충청남도 서산시 동서1로 152-15(석남동),36.767984,126.453324,46,041-668-2450,2021-09-29
11,해미그루터기,정희경,개인,충청남도 서산시 해미면 읍성마을3길 13,36.7109207,126.5451923,29,041-688-0246,2021-09-29
12,행복한꿈,배창호,개인,"충청남도 서산시 지곡면 충의로 762-78, 115동105호 (늘푸른오스카빌아파트)",36.8428098,126.4467085,23,070-7366-9245,2021-09-29
13,무지개돌봄교실,민용아,개인,"충청남도 서산시 덕지천로 30, 2층(석남동)",36.7729282,126.4548636,29,041-669-4147,2021-09-29
14,미래나무,박영희,개인,충청남도 서산시 대산읍 대산원두골길 98,36.947835,126.426171,19,041-668-3770,2021-09-29
